experiment,model,magnification,feature_set,stain_normalization,num_normal,num_tumour,use_scaling,accuracy_mean,accuracy_std,auc_mean,auc_std,pr_auc_mean,pr_auc_std,precision_mean,precision_std,f1_score_mean,f1_score_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,mcc_mean,mcc_std,accuracy_ci_low,accuracy_ci_high
rf_unscaled_lbp_haralick_reinhard_89img_100x_seed_42,rf,100x,lbp_haralick,reinhard,89,89,False,0.723,0.075,0.823,0.064,0.836,0.068,0.752,0.097,0.709,0.082,0.684,0.121,0.763,0.125,0.457,0.151,0.692,0.754
rf_unscaled_lbp_haralick_reinhard_full_100x_seed_42,rf,100x,lbp_haralick,reinhard,89,439,False,0.877,0.017,0.893,0.034,0.973,0.011,0.885,0.018,0.93,0.009,0.981,0.016,0.365,0.12,0.484,0.1,0.87,0.884
rf_unscaled_lbp_haralick_reinhard_full_400x_seed_42,rf,400x,lbp_haralick,reinhard,201,495,False,0.785,0.025,0.815,0.039,0.908,0.024,0.795,0.02,0.861,0.015,0.939,0.018,0.416,0.074,0.434,0.077,0.775,0.796
rf_unscaled_lbp_no_norm_201img_400x_seed_42,rf,400x,lbp,,201,201,False,0.659,0.05,0.728,0.051,0.721,0.049,0.641,0.046,0.673,0.053,0.711,0.078,0.607,0.066,0.321,0.101,0.638,0.679
rf_unscaled_lbp_no_norm_20img_100x_seed_42,rf,100x,lbp,,20,20,False,0.641,0.143,0.704,0.176,0.784,0.14,0.653,0.15,0.656,0.145,0.68,0.184,0.6,0.215,0.288,0.298,0.582,0.7
rf_unscaled_lbp_no_norm_20img_400x_seed_42,rf,400x,lbp,,20,20,False,0.558,0.169,0.515,0.195,0.648,0.143,0.55,0.241,0.559,0.225,0.61,0.289,0.5,0.284,0.117,0.398,0.488,0.628
rf_unscaled_lbp_no_norm_89img_100x_seed_42,rf,100x,lbp,,89,89,False,0.657,0.08,0.724,0.078,0.76,0.072,0.665,0.087,0.641,0.104,0.633,0.152,0.682,0.115,0.322,0.159,0.624,0.69
rf_unscaled_lbp_no_norm_full_100x_seed_42,rf,100x,lbp,,89,439,False,0.844,0.018,0.808,0.045,0.952,0.015,0.863,0.014,0.911,0.011,0.966,0.019,0.241,0.086,0.309,0.093,0.836,0.851
rf_unscaled_lbp_no_norm_full_400x_seed_42,rf,400x,lbp,,201,495,False,0.761,0.025,0.741,0.035,0.86,0.024,0.775,0.02,0.846,0.016,0.933,0.026,0.346,0.081,0.358,0.081,0.75,0.771
rf_unscaled_lbp_reinhard_201img_400x_seed_42,rf,400x,lbp,reinhard,201,201,False,0.659,0.05,0.728,0.051,0.721,0.049,0.641,0.046,0.673,0.053,0.711,0.078,0.607,0.066,0.321,0.101,0.638,0.679
rf_unscaled_lbp_reinhard_20img_100x_seed_42,rf,100x,lbp,reinhard,20,20,False,0.641,0.143,0.704,0.176,0.784,0.14,0.653,0.15,0.656,0.145,0.68,0.184,0.6,0.215,0.288,0.298,0.582,0.7
rf_unscaled_lbp_reinhard_20img_400x_seed_42,rf,400x,lbp,reinhard,20,20,False,0.558,0.169,0.515,0.195,0.648,0.143,0.55,0.241,0.559,0.225,0.61,0.289,0.5,0.284,0.117,0.398,0.488,0.628
rf_unscaled_lbp_reinhard_89img_100x_seed_42,rf,100x,lbp,reinhard,89,89,False,0.657,0.08,0.724,0.078,0.76,0.072,0.665,0.087,0.641,0.104,0.633,0.152,0.682,0.115,0.322,0.159,0.624,0.69
rf_unscaled_lbp_reinhard_full_100x_seed_42,rf,100x,lbp,reinhard,89,439,False,0.844,0.018,0.808,0.045,0.952,0.015,0.863,0.014,0.911,0.011,0.966,0.019,0.241,0.086,0.309,0.093,0.836,0.851
rf_unscaled_lbp_reinhard_full_400x_seed_42,rf,400x,lbp,reinhard,201,495,False,0.761,0.025,0.741,0.035,0.86,0.024,0.775,0.02,0.846,0.016,0.933,0.026,0.346,0.081,0.358,0.081,0.75,0.771
svm_scaled_all_no_norm_201img_400x_seed_42,svm,400x,all,,201,201,True,0.815,0.036,0.884,0.035,0.879,0.051,0.823,0.046,0.811,0.039,0.801,0.056,0.828,0.051,0.632,0.073,0.8,0.83
svm_scaled_all_no_norm_20img_100x_seed_42,svm,100x,all,,20,20,True,0.691,0.186,0.723,0.28,0.822,0.189,0.658,0.312,0.633,0.298,0.63,0.307,0.75,0.249,0.388,0.378,0.615,0.768
svm_scaled_all_no_norm_20img_400x_seed_42,svm,400x,all,,20,20,True,0.53,0.185,0.549,0.268,0.66,0.181,0.541,0.214,0.535,0.204,0.57,0.265,0.48,0.334,0.056,0.405,0.454,0.606
svm_scaled_all_no_norm_89img_100x_seed_42,svm,100x,all,,89,89,True,0.864,0.056,0.929,0.045,0.933,0.043,0.903,0.059,0.854,0.068,0.821,0.115,0.906,0.067,0.738,0.105,0.841,0.887
svm_scaled_all_no_norm_full_100x_seed_42,svm,100x,all,,89,439,True,0.908,0.026,0.954,0.026,0.99,0.007,0.976,0.02,0.943,0.017,0.912,0.034,0.886,0.1,0.724,0.073,0.897,0.919
svm_scaled_all_no_norm_full_400x_seed_42,svm,400x,all,,201,495,True,0.863,0.032,0.917,0.029,0.956,0.023,0.922,0.026,0.901,0.024,0.881,0.037,0.819,0.066,0.684,0.072,0.85,0.876
svm_scaled_all_reinhard_201img_400x_seed_42,svm,400x,all,reinhard,201,201,True,0.815,0.036,0.884,0.035,0.879,0.051,0.823,0.046,0.811,0.039,0.801,0.056,0.828,0.051,0.632,0.073,0.8,0.83
svm_scaled_all_reinhard_20img_100x_seed_42,svm,100x,all,reinhard,20,20,True,0.691,0.186,0.723,0.28,0.822,0.189,0.658,0.312,0.633,0.298,0.63,0.307,0.75,0.249,0.388,0.378,0.615,0.768
svm_scaled_all_reinhard_20img_400x_seed_42,svm,400x,all,reinhard,20,20,True,0.53,0.185,0.549,0.268,0.66,0.181,0.541,0.214,0.535,0.204,0.57,0.265,0.48,0.334,0.056,0.405,0.454,0.606
svm_scaled_all_reinhard_89img_100x_seed_42,svm,100x,all,reinhard,89,89,True,0.864,0.056,0.929,0.045,0.933,0.043,0.903,0.059,0.854,0.068,0.821,0.115,0.906,0.067,0.738,0.105,0.841,0.887
svm_scaled_all_reinhard_full_100x_seed_42,svm,100x,all,reinhard,89,439,True,0.908,0.026,0.954,0.026,0.99,0.007,0.976,0.02,0.943,0.017,0.912,0.034,0.886,0.1,0.724,0.073,0.897,0.919
svm_scaled_all_reinhard_full_400x_seed_42,svm,400x,all,reinhard,201,495,True,0.863,0.032,0.917,0.029,0.956,0.023,0.922,0.026,0.901,0.024,0.881,0.037,0.819,0.066,0.684,0.072,0.85,0.876
svm_scaled_color_haralick_no_norm_201img_400x_seed_42,svm,400x,color_haralick,,201,201,True,0.817,0.045,0.884,0.048,0.88,0.059,0.82,0.052,0.815,0.045,0.812,0.055,0.822,0.057,0.636,0.089,0.799,0.836
svm_scaled_color_haralick_no_norm_20img_100x_seed_42,svm,100x,color_haralick,,20,20,True,0.518,0.091,0.436,0.241,0.613,0.179,0.28,0.321,0.257,0.296,0.26,0.319,0.78,0.306,0.037,0.204,0.48,0.555
svm_scaled_color_haralick_no_norm_20img_400x_seed_42,svm,400x,color_haralick,,20,20,True,0.631,0.155,0.723,0.2,0.773,0.17,0.689,0.199,0.62,0.162,0.61,0.205,0.643,0.263,0.274,0.333,0.567,0.695
svm_scaled_color_haralick_no_norm_89img_100x_seed_42,svm,100x,color_haralick,,89,89,True,0.807,0.069,0.872,0.077,0.88,0.065,0.854,0.088,0.791,0.081,0.743,0.098,0.87,0.078,0.621,0.137,0.779,0.835
